Gene	Hit	Module1	Module2	Class
DHCR24	FALSE	TRUE	TRUE	TRUE_TRUE
AMD1	FALSE	TRUE	FALSE	TRUE_FALSE
TM7SF2	FALSE	TRUE	FALSE	TRUE_FALSE
STEAP1	FALSE	TRUE	TRUE	TRUE_TRUE
SORD	FALSE	TRUE	TRUE	TRUE_TRUE
TSPAN8	FALSE	TRUE	TRUE	TRUE_TRUE
HIST2H2BE	FALSE	TRUE	TRUE	TRUE_TRUE
C1R	TRUE	TRUE	FALSE	TRUE_FALSE
FOXA1	FALSE	TRUE	TRUE	TRUE_TRUE
BASP1	FALSE	TRUE	FALSE	TRUE_FALSE
HOXB13	FALSE	TRUE	TRUE	TRUE_TRUE
NEFH	FALSE	TRUE	FALSE	TRUE_FALSE
PTPRN2	FALSE	FALSE	TRUE	FALSE_TRUE
FAAH	FALSE	FALSE	TRUE	FALSE_TRUE
C1S	TRUE	FALSE	TRUE	FALSE_TRUE
NEDD4L	FALSE	FALSE	TRUE	FALSE_TRUE
COX7A1	FALSE	FALSE	TRUE	FALSE_TRUE
KLK2	TRUE	FALSE	TRUE	FALSE_TRUE
FASN	FALSE	FALSE	TRUE	FALSE_TRUE
