Gene	Hit	Module1	Module2	Class
GSTP1	FALSE	TRUE	FALSE	TRUE_FALSE
CAV1	FALSE	TRUE	FALSE	TRUE_FALSE
GJA1	FALSE	TRUE	FALSE	TRUE_FALSE
GAS1	FALSE	TRUE	FALSE	TRUE_FALSE
PCP4	FALSE	TRUE	FALSE	TRUE_FALSE
MYLK	FALSE	TRUE	FALSE	TRUE_FALSE
ACTG2	FALSE	TRUE	FALSE	TRUE_FALSE
KCNMB1	TRUE	TRUE	FALSE	TRUE_FALSE
FHL1	FALSE	TRUE	FALSE	TRUE_FALSE
COX7A1	FALSE	TRUE	TRUE	TRUE_TRUE
EDNRA	FALSE	TRUE	FALSE	TRUE_FALSE
TPM2	FALSE	TRUE	FALSE	TRUE_FALSE
DHCR24	FALSE	FALSE	TRUE	FALSE_TRUE
PTPRN2	FALSE	FALSE	TRUE	FALSE_TRUE
TSPAN8	FALSE	FALSE	TRUE	FALSE_TRUE
STEAP1	FALSE	FALSE	TRUE	FALSE_TRUE
FAAH	FALSE	FALSE	TRUE	FALSE_TRUE
HIST2H2BE	FALSE	FALSE	TRUE	FALSE_TRUE
SORD	FALSE	FALSE	TRUE	FALSE_TRUE
C1S	FALSE	FALSE	TRUE	FALSE_TRUE
NEDD4L	TRUE	FALSE	TRUE	FALSE_TRUE
HOXB13	FALSE	FALSE	TRUE	FALSE_TRUE
KLK2	FALSE	FALSE	TRUE	FALSE_TRUE
FOXA1	FALSE	FALSE	TRUE	FALSE_TRUE
FASN	FALSE	FALSE	TRUE	FALSE_TRUE
