ensembl_gene_id	external_gene_name	chromosome_name	start_position	end_position
ENSG00000261657	SLC25A26	HG991_PATCH	66119285	66465398
ENSG00000223116	AL157931.1	13	23551994	23552136
ENSG00000233440	HMGA1P6	13	23708313	23708703
ENSG00000207157	RNY3P4	13	23726725	23726825
ENSG00000229483	LINC00362	13	23743974	23744736
ENSG00000252952	RNU6-58P	13	23791571	23791673
ENSG00000235205	TATDN2P3	13	23817659	23821323
ENSG00000232849	LINC00363	13	93708910	93710179
ENSG00000236803	SDAD1P4	13	23841645	23843289
ENSG00000232163	RPLP1P13	13	23947562	23948200
ENSG00000252365	SNORD22	13	94021100	94021213
ENSG00000229558	SACS-AS1	13	23993110	24002818
ENSG00000235784	HNRNPA1P29	13	94047230	94048108
ENSG00000224394	GPC6-AS2	13	94470677	94488397
ENSG00000212559	RNA5SP35	13	94677724	94677852
ENSG00000232977	LINC00327	13	24040710	24061603
ENSG00000236520	GPC6-AS1	13	94806447	94840245
ENSG00000227893	LINC00352	13	24072935	24077013
ENSG00000212057	AL139318.1	13	95117554	95117644
ENSG00000222129	RNA5SP36	13	95303651	95303783
ENSG00000232102	MTCO3P2	13	24340073	24340243
ENSG00000242037	RN7SL585P	13	95351479	95351756
ENSG00000238230	LINC00391	13	95351948	95355116
ENSG00000227640	SOX21-AS1	13	95364970	95368500
ENSG00000205861	C1QTNF9B-AS1	13	24463028	24471402
ENSG00000235768	BRD7P5	13	95409705	95411526
ENSG00000237924	RPL21P112	13	95412807	95413269
ENSG00000260962	LINC00557	13	95612295	95613573
ENSG00000252335	RNU6-62P	13	95671489	95671590
ENSG00000238463	snoU13	13	95862598	95862702
ENSG00000223298	RNY3P8	13	95963084	95963209
ENSG00000196593	ANKRD20A19P	13	24513696	24520921
ENSG00000200211	RNY4P27	13	95988360	95988455
ENSG00000271492	MEMO1P5	13	96046303	96046708
ENSG00000223392	CLDN10-AS1	13	96131698	96186164
ENSG00000228741	RP11-309I15.1	13	24553949	24609166
ENSG00000247400	DNAJC3-AS1	13	96300987	96329179
ENSG00000225674	IPO7P2	13	24696204	24697953
ENSG00000229622	MTND5P2	13	96344792	96346226
ENSG00000252695	MIR2276	13	24736555	24736643
ENSG00000227213	SPATA13-AS1	13	24826887	24828577
ENSG00000227714	MTND6P18	13	96346237	96346749
ENSG00000240868	C1QTNF9-AS1	13	24889863	24895736
ENSG00000232373	MTCYBP3	13	96346823	96347959
ENSG00000234627	NUS1P3	13	24902349	24903210
ENSG00000251901	snR65	13	96366931	96367032
ENSG00000261498	LINC00566	13	24905588	24911259
ENSG00000226977	HMGN1P24	13	96461564	96461861
ENSG00000233545	CYCSP33	13	24974841	24975167
ENSG00000242614	RN7SL164P	13	96821799	96822099
ENSG00000233273	AMMECR1LP1	13	97225913	97226753
ENSG00000205822	TPTE2P6	13	24982295	25171814
ENSG00000235137	HSP90AB6P	13	97536096	97542067
ENSG00000243300	LINC00359	13	97593535	97636426
ENSG00000266216	AL359538.2	13	25129366	25129451
ENSG00000244615	PSPC1P2	13	25140981	25144866
ENSG00000234267	TULP3P1	13	97599891	97601181
ENSG00000243008	RP11-556N21.1	13	25141011	25171814
ENSG00000272329	RP11-65L19.4	13	97600272	97601838
ENSG00000211508	AL359538.1	13	25183217	25183313
ENSG00000222472	RN7SKP7	13	97601503	97601787
ENSG00000207474	RNY1P7	13	25277694	25277803
ENSG00000252154	SNORD112	13	97618195	97618268
ENSG00000225404	RPL26P34	13	25278476	25278926
ENSG00000238522	snoU13	13	97709633	97709734
ENSG00000233124	LINC00456	13	97824723	97831876
ENSG00000231417	IRX1P1	13	25316815	25320322
ENSG00000202290	RNA5SP37	13	98015226	98015355
ENSG00000271625	PSMA6P4	13	98127996	98128713
ENSG00000226695	ANKRD20A10P	13	25324795	25326309
ENSG00000226134	RP11-120E13.1	13	98327265	98330217
ENSG00000238407	snoU13	13	98538063	98538166
ENSG00000233291	RPL7AP61	13	98553907	98554542
ENSG00000270725	RP11-383H17.4	13	98591610	98605793
ENSG00000253771	TPTE2P1	13	25498815	25542625
ENSG00000232217	FTLP8	13	98639204	98639470
ENSG00000222969	RN7SKP8	13	98856089	98856446
ENSG00000263399	MIR3170	13	98860778	98860854
ENSG00000269189	RP11-573N10.1	13	98885904	98886954
ENSG00000269599	RP11-261P24.2	13	98981909	98985490
ENSG00000251299	SLC25A15P3	13	25517713	25518636
ENSG00000231194	FARP1-AS1	13	99087659	99088094
ENSG00000271437	RP11-295B17.6	13	99205497	99206034
ENSG00000232858	RPL34P27	13	25562715	25563063
ENSG00000224418	STK24-AS1	13	99229498	99231084
ENSG00000256305	AL359757.1	13	25715794	25716046
ENSG00000217686	NUS1P4	13	99262546	99263130
ENSG00000234056	AMER2-AS1	13	25746966	25754217
ENSG00000233549	CYCSP35	13	99281940	99282243
ENSG00000238169	LINC01053	13	25755579	25763898
ENSG00000233662	CALM2P4	13	99293068	99293493
ENSG00000225105	LINC01076	13	25767245	25784433
ENSG00000243366	RN7SL60P	13	99324234	99324529
ENSG00000235315	RPL23AP69	13	25780187	25780644
ENSG00000229918	DOCK9-AS1	13	99484338	99486883
ENSG00000261530	BTC	HG706_PATCH	75610476	75660403
ENSG00000221324	AL590787.1	13	25820669	25820753
ENSG00000260509	RP11-271M24.2	13	25874262	25875576
ENSG00000231981	RPL7L1P12	13	99601973	99602701
ENSG00000234152	TCEB2P1	13	25939937	25940293
ENSG00000265546	RN7SL289P	13	26027137	26027428
ENSG00000260666	AC142293.3	HG706_PATCH	75418301	75455198
ENSG00000207298	RNU6-83P	13	99677488	99677599
ENSG00000199767	RNU6-78P	13	26091257	26091363
ENSG00000260992	DOCK9-AS2	13	99740073	99740879
ENSG00000180803	RP11-467D10.2	13	26437388	26437805
ENSG00000230871	RPS6P23	13	99825847	99826744
ENSG00000242381	RN7SL741P	13	26518632	26518891
ENSG00000260334	GAST	HG185_PATCH	39868578	39872221
ENSG00000223158	RNY1P3	13	26524842	26524959
ENSG00000231983	LINC00415	13	26626414	26627523
ENSG00000234005	GAPDHP22	13	99842833	99843245
ENSG00000228889	UBAC2-AS1	13	99848631	99852964
ENSG00000233963	ATP8A2P3	13	26688547	26728313
ENSG00000201793	RN7SKP9	13	99857962	99858260
ENSG00000218502	H2AFZP3	13	99867626	99868012
ENSG00000207719	MIR623	13	100008385	100008482
ENSG00000234706	PRUNEP1	13	26691686	26693102
ENSG00000228808	HMGB3P4	13	100024427	100024940
ENSG00000271559	RP11-380N8.6	13	26803469	26803781
ENSG00000238241	CCR12P	13	100060035	100061316
ENSG00000227882	PRKRIRP6	13	26808350	26811266
ENSG00000266207	AL583784.1	13	100105650	100105723
ENSG00000203441	LINC00449	13	100151981	100153306
ENSG00000234031	RPS3AP44	13	27151023	27151812
ENSG00000212197	RNY3P6	13	100188573	100188650
ENSG00000234168	LINC01039	13	100229366	100232622
ENSG00000237001	WASF3-AS1	13	27180681	27215501
ENSG00000234239	CFL1P8	13	100234960	100235434
ENSG00000230256	FGFR1OP2P1	13	27479499	27479998
ENSG00000223782	RPS21P8	13	27551680	27551926
ENSG00000263615	MIR4306	13	100295313	100295403
ENSG00000218198	RPS20P32	13	27591688	27592046
ENSG00000227659	CLYBL-AS2	13	100342335	100343225
ENSG00000232162	USP12-AS1	13	27736992	27743272
ENSG00000234303	CLYBL-AS1	13	100378501	100379745
ENSG00000230641	USP12-AS2	13	27746396	27757135
ENSG00000234772	LINC00412	13	27810419	27810948
ENSG00000201245	SNORA25	13	100436111	100436237
ENSG00000238305	snoU13	13	100436308	100436411
ENSG00000207500	SNORD102	13	27829201	27829272
ENSG00000260738	LINC00554	13	100647153	100650163
ENSG00000207051	SNORA27	13	27829538	27829663
ENSG00000221756	AL159977.1	13	27894150	27894296
ENSG00000225999	NDUFA12P1	13	100680023	100680428
ENSG00000252247	RNU6-70P	13	27917785	27917883
ENSG00000229609	LINC01079	13	27947485	27948503
ENSG00000236554	ASNSP3	13	100714550	100715855
ENSG00000201242	RNY1P1	13	27976613	27976724
ENSG00000203602	AL137059.1	13	28008286	28008752
ENSG00000252499	RNU6-63P	13	28062275	28062369
ENSG00000228501	RPL15P18	13	100802735	100803346
ENSG00000226703	NPM1P4	13	28270530	28271341
ENSG00000261125	HAP1	HG185_PATCH	39873994	39890896
ENSG00000270632	RP11-340C20.3	13	100850441	100850723
ENSG00000207330	RNU6-73P	13	28402900	28403006
ENSG00000234650	PCCA-AS1	13	101116694	101133411
ENSG00000247381	PDX1-AS1	13	28407581	28495541
ENSG00000260704	LINC00543	13	28527663	28529507
ENSG00000242360	RN7SL272P	13	28563435	28563721
ENSG00000224356	RP11-151A6.4	13	101187995	101232371
ENSG00000271026	KATNBL1P1	13	28641724	28642471
ENSG00000235115	CHCHD2P8	13	28681568	28682014
ENSG00000234354	RPS26P47	13	101192089	101192528
ENSG00000261485	PAN3-AS1	13	28710980	28712330
ENSG00000237082	COX5BP6	13	101276129	101276683
ENSG00000232587	EEF1A1P3	13	28788650	28790034
ENSG00000200840	RNU6-82P	13	28806638	28806744
ENSG00000233009	NALCN-AS1	13	101360579	101711638
ENSG00000235472	EIF4A1P7	13	29172970	29174189
ENSG00000202237	RNU6-53P	13	29277839	29277944
ENSG00000214051	ARF4P3	13	101408805	101409313
ENSG00000233588	CYP51A1P2	13	29296523	29298158
