gene	gene_symbols	logFC	logCPM	F	PValue	FDR
ENSG00000000003	TSPAN6	-1.24097665293465	5.82876981327801	37.3930558292405	1.86352382822634e-06	1.2220807070013e-05
ENSG00000000005	TNMD	-6.49124375581008	3.27847777679525	98.4154094849904	2.61341213126086e-10	7.98029218203246e-09
ENSG00000000419	DPM1	0.951785912103391	5.5322965575725	37.6262789688394	1.77484918218864e-06	1.17283493901921e-05
ENSG00000000457	SCYL3	0.615067400124215	5.01834023128084	20.5923180891095	0.000114807315807061	0.000421229444015948
ENSG00000000460	C1orf112	1.72844111540994	3.75169259941681	110.715098534916	7.62200425560991e-11	3.06154197098517e-09
ENSG00000000938	FGR	-0.748300667361169	3.57335038408352	7.38239966037561	0.0115832294312	0.0231589166062228
ENSG00000000971	CFH	-1.2514531337539	6.86847097641159	16.5818812451667	0.000389771448371433	0.00121916626776961
ENSG00000001036	FUCA2	0.604298555116347	6.23737572070826	9.85257199614114	0.00420299010946261	0.00962938415478355
ENSG00000001084	GCLC	0.0982913726967695	5.84247944107332	0.476184479025763	0.496294806094342	0.577770114012013
ENSG00000001167	NFYA	0.493587506408785	5.67868520570226	14.1315099574821	0.00087776002247754	0.00245664353060227
ENSG00000001460	STPG1	0.0306272393090527	3.60984638797975	0.0642957850483734	0.801833350808674	0.845395622051722
ENSG00000001461	NIPAL3	-0.560636862983131	5.76372190827193	7.717968101928	0.0100352520728198	0.020469751330999
ENSG00000001497	LAS1L	0.463091212180736	5.62723545409926	19.6154838348488	0.000152935627243985	0.000540526417558196
ENSG00000001561	ENPP4	-0.189315953072948	5.31577654349684	0.691234944916186	0.413346410976317	0.497939059688788
ENSG00000001617	SEMA3F	1.03994204177312	6.38860999210499	36.4243137765874	2.28643715801495e-06	1.45287861259469e-05
ENSG00000001626	CFTR	-2.94904985992446	-0.0255496091366315	35.4994704939614	2.78809546638046e-06	1.72138110396389e-05
ENSG00000001629	ANKIB1	0.608096836881262	6.52465634684319	22.766695303878	6.20358359564596e-05	0.000246470520485349
ENSG00000001630	CYP51A1	0.604137132583319	2.05526856309633	5.43955857897414	0.0277342017697807	0.0494314521707764
ENSG00000001631	KRIT1	0.145231946259773	5.4472383976811	1.69986961644792	0.203778116203814	0.27540802692143
ENSG00000002016	RAD52	-0.212373588788847	3.27923521602325	2.23390476806741	0.14710067943193	0.208660675295215
ENSG00000002079	MYH16	0.343313654105354	-2.27500277857903	0.839953428891973	0.367867775956047	0.451673710021389
ENSG00000002330	BAD	0.284841554192049	4.62585198582364	2.8060307611895	0.105947732687319	0.157573090404933
ENSG00000002549	LAP3	0.275452410932528	7.07520907259551	3.12715973733732	0.0887797190668582	0.135167623624738
ENSG00000002586	CD99	-0.129997829958873	7.56167602804625	0.256111358982466	0.617086228089607	0.688685819303169
ENSG00000002587	HS3ST1	-0.442520436280294	2.56685493911723	6.39587396672371	0.0178723873359196	0.0337158457251784
ENSG00000002726	AOC1	1.44623952024038	2.87308191312468	6.47158270047635	0.0172757703935319	0.0327423300751151
ENSG00000002745	WNT16	0.154622630474635	-3.04523856095257	0.123308957343447	0.728314263834971	0.784983021882973
ENSG00000002746	HECW1	0.0136244128107104	0.487750824247119	0.000816408222908295	0.977424352054491	0.983080578287446
ENSG00000002822	MAD1L1	0.131857146294393	4.31249280960968	0.353436698312759	0.55733374962592	0.635209228808195
ENSG00000002834	LASP1	0.730991085825641	8.71815044400002	10.4286275770068	0.00336081568609026	0.00790233484940904
ENSG00000002919	SNX11	0.485095939615864	5.29717825010281	7.29624336989882	0.0120216608105021	0.0239109397220545
ENSG00000002933	TMEM176A	-0.523115865096265	5.44274507327604	3.05830593126883	0.0921729227900537	0.139557238730174
