Gene	Hit	Module1	Module2	Class
PCP4	FALSE	TRUE	TRUE	TRUE_TRUE
GJA1	FALSE	TRUE	TRUE	TRUE_TRUE
FILIP1L	FALSE	TRUE	TRUE	TRUE_TRUE
GAS1	FALSE	TRUE	TRUE	TRUE_TRUE
FLNA	TRUE	TRUE	FALSE	TRUE_FALSE
ACTG2	FALSE	TRUE	FALSE	TRUE_FALSE
KCNMB1	FALSE	TRUE	FALSE	TRUE_FALSE
GSTP1	FALSE	TRUE	FALSE	TRUE_FALSE
MYLK	TRUE	TRUE	TRUE	TRUE_TRUE
CAV1	TRUE	TRUE	TRUE	TRUE_TRUE
CNN1	FALSE	TRUE	TRUE	TRUE_TRUE
COX7A1	FALSE	TRUE	FALSE	TRUE_FALSE
ID3	FALSE	TRUE	FALSE	TRUE_FALSE
TPM2	FALSE	TRUE	TRUE	TRUE_TRUE
PPP1R12B	FALSE	TRUE	FALSE	TRUE_FALSE
COL6A2	TRUE	FALSE	TRUE	FALSE_TRUE
MYH11	FALSE	FALSE	TRUE	FALSE_TRUE
LMOD1	FALSE	FALSE	TRUE	FALSE_TRUE
FLNC	TRUE	FALSE	TRUE	FALSE_TRUE
CRYAB	FALSE	FALSE	TRUE	FALSE_TRUE
HPN	FALSE	FALSE	TRUE	FALSE_TRUE
