Gene	Hit	Module1	Module2	Class
TSPAN8	FALSE	TRUE	FALSE	TRUE_FALSE
AMD1	FALSE	TRUE	TRUE	TRUE_TRUE
BASP1	FALSE	TRUE	TRUE	TRUE_TRUE
DHCR24	FALSE	TRUE	TRUE	TRUE_TRUE
STEAP1	FALSE	TRUE	TRUE	TRUE_TRUE
SORD	TRUE	TRUE	TRUE	TRUE_TRUE
HIST2H2BE	FALSE	TRUE	TRUE	TRUE_TRUE
C1S	FALSE	TRUE	TRUE	TRUE_TRUE
FOXA1	FALSE	TRUE	TRUE	TRUE_TRUE
TM7SF2	FALSE	TRUE	TRUE	TRUE_TRUE
TSPAN1	FALSE	TRUE	TRUE	TRUE_TRUE
EPCAM	FALSE	TRUE	FALSE	TRUE_FALSE
HOXB13	FALSE	TRUE	TRUE	TRUE_TRUE
FAAH	FALSE	FALSE	TRUE	FALSE_TRUE
PTPRN2	FALSE	FALSE	TRUE	FALSE_TRUE
TMEM47	FALSE	FALSE	TRUE	FALSE_TRUE
SLC4A4	FALSE	FALSE	TRUE	FALSE_TRUE
FBP1	TRUE	FALSE	TRUE	FALSE_TRUE
KLK2	FALSE	FALSE	TRUE	FALSE_TRUE
